1926	10	12	CL	BO	7	1	SA		25	1426	1275	0	−	46	58
1926	10	16	AR	BO	5	0	SA	CL	2	1999	1273	0	0	3	58
1926	10	23	PY	BO	6	1	SA	CL	7	1731	1266	+1	0	17	58
1926	10	28	UY	BO	6	0	SA	CL	1	2016	1265	0	0	1	58
1927	10	30	AR	BO	7	1	SA	PE	2	1962	1263	0	0	4	58
1927	11	06	UY	BO	9	0	SA	PE	1	2041	1262	0	0	1	59
1927	11	13	PE	BO	3	2	SA		4	1592	1258	0	0	30	59
1930	07	17	YU	BO	4	0	WC	UY	11	1653	1247	+1	0	25	62
1930	07	20	BR	BO	4	0	WC	UY	3	1874	1244	0	0	9	62
1938	08	08	BO	EC	1	1	BG	CO	3	1247	1297	0	−	84	76
1938	08	11	BO	VE	3	1	BG	CO	34	1281	1265	+4	−7	80	83
1938	08	14	PE	BO	3	0	BG	CO	8	1635	1273	0	−1	35	81
1938	08	16	CO	BO	1	2	BG		-31	1345	1304	−3	+6	66	75
1938	08	22	BO	EC	2	1	BG	CO	22	1326	1318	+6	−2	69	71
1945	01	18	AR	BO	4	0	SA	CL	1	2089	1325	0	0	1	77
1945	01	24	CL	BO	5	0	SA		11	1608	1314	+1	0	42	77
1945	01	28	BR	BO	2	0	SA	CL	2	1915	1312	0	−1	8	78
1945	02	11	BO	EC	0	0	SA	CL	-5	1307	1240	0	0	78	90
1945	02	15	UY	BO	2	0	SA	CL	2	1902	1305	0	−1	9	79
1945	02	21	BO	CO	3	3	SA	CL	4	1309	1354	+1	−2	78	70
1946	01	16	BR	BO	3	0	SA	AR	2	1978	1307	0	−1	4	76
1946	01	19	AR	BO	7	1	SA		1	2042	1306	0	0	2	76
1946	01	26	PY	BO	4	2	SA	AR	6	1731	1300	0	−4	16	80
1946	01	29	UY	BO	5	0	SA	AR	4	1869	1296	0	0	11	80
1946	02	08	CL	BO	4	1	SA	AR	10	1671	1286	+2	−4	25	84
1947	11	30	EC	BO	2	2	SA		-2	1208	1288	0	+1	94	86
1947	12	04	AR	BO	7	0	SA	EC	1	2096	1287	0	0	1	86
1947	12	09	UY	BO	3	0	SA	EC	3	1864	1284	+2	−1	9	88
1947	12	13	BO	CO	0	0	SA	EC	12	1296	1461	+3	0	85	59
1947	12	18	PY	BO	3	1	SA	EC	4	1810	1292	0	−1	15	86
1947	12	27	PE	BO	2	0	SA	EC	9	1646	1283	+2	−2	33	88
1947	12	30	CL	BO	4	3	SA	EC	4	1703	1279	+1	−2	23	90
1948	01	05	BO	VE	2	2	BG	PE	0	1279	1281	0	0	91	89
1949	04	06	BO	CL	3	2	SA	BR	46	1325	1657	+14	−7	79	31
1949	04	10	BR	BO	10	1	SA		2	1952	1323	0	−2	5	81
1949	04	17	BO	UY	3	2	SA	BR	48	1371	1822	+6	−4	75	13
1949	04	25	BO	EC	2	0	SA	BR	21	1392	1183	+4	−2	71	100
1949	04	27	PE	BO	3	0	SA	BR	17	1660	1375	+2	−4	29	75
1949	04	30	PY	BO	7	0	SA	BR	7	1865	1368	0	0	10	75
1949	05	06	BO	CO	4	0	SA	BR	44	1412	1305	+7	−7	68	85
1950	02	26	BO	CL	2	0	WQ		41	1453	1598	+4	−3	65	36
1950	03	12	CL	BO	5	0	F		8	1606	1445	+1	0	36	65
1950	07	02	UY	BO	8	0	WC	BR	22	1759	1423	+4	−3	14	68
1953	02	22	PE	BO	0	1	SA		-46	1716	1469	−3	+8	20	65
1953	02	25	UY	BO	2	0	SA	PE	7	1863	1462	−1	0	12	65
1953	03	01	BR	BO	8	1	SA	PE	4	2061	1458	0	0	3	65
1953	03	08	BO	EC	1	1	SA	PE	-12	1446	1287	−4	+2	69	97
1953	03	16	PY	BO	2	1	SA	PE	4	1856	1442	0	−2	11	72
1953	03	28	BO	CL	2	2	SA	PE	18	1460	1733	+6	+1	66	17
1957	06	06	PY	BO	5	2	CPC		6	1732	1454	0	−1	19	75
1957	06	13	PY	BO	0	1	CPC		-27	1705	1481	−5	+5	24	70
1957	08	18	BO	PY	3	3	CPC		7	1488	1757	+3	0	67	18
1957	08	21	BO	PY	2	1	CPC		22	1510	1735	+6	−2	61	20
1957	09	22	CL	BO	2	1	WQ		6	1734	1504	0	−2	21	64
1957	09	29	BO	CL	3	0	WQ		48	1552	1686	+8	−7	56	28
1957	10	06	BO	AR	2	0	WQ		56	1608	2041	+11	−1	45	2
1957	10	27	AR	BO	4	0	WQ		3	2060	1605	0	−1	2	47
1959	03	08	UY	BO	7	0	SA	AR	16	1928	1589	+1	−5	6	49
1959	03	11	AR	BO	2	0	SA		5	1939	1584	0	−1	4	50
1959	03	15	PY	BO	5	0	SA	AR	24	1807	1560	+1	−4	16	54
1959	03	21	BR	BO	4	2	SA	AR	3	2130	1557	0	−1	1	55
1959	03	26	CL	BO	5	2	SA	AR	33	1679	1524	+5	−5	34	60
1959	03	29	BO	PE	0	0	SA	AR	16	1540	1779	+2	−1	58	16
1961	07	15	BO	UY	1	1	WQ		14	1554	1926	+2	−1	54	9
1961	07	30	UY	BO	2	1	WQ		2	1928	1552	0	0	9	54
1962	08	10	BO	PY	3	1	CPC		23	1575	1632	+3	−3	50	40
1962	08	12	BO	PY	3	2	CPC		13	1588	1619	+4	−1	46	41
1963	02	17	PY	BO	3	0	CPC		17	1636	1571	+1	−5	41	53
1963	02	19	PY	BO	5	1	CPC		16	1652	1555	+3	−2	38	55
1963	03	10	BO	EC	4	4	SA		-19	1536	1340	−5	+2	60	104
1963	03	17	BO	CO	2	1	SA		13	1549	1440	+1	−5	59	84
1963	03	21	BO	PE	3	2	SA		31	1580	1698	+11	−4	48	28
1963	03	24	BO	PY	2	0	SA		45	1625	1704	+5	−5	43	27
1963	03	28	BO	AR	3	2	SA		41	1666	1950	+9	−2	34	5
