1938	02	10	MX	CO	3	1	CAC	PA	6	1795	1394	0	−	14	60
1938	02	14	PA	CO	2	4	CAC		-32	1282	1426	−9	+1	78	59
1938	02	18	CR	CO	2	1	CAC	PA	3	1846	1423	0	0	13	59
1938	02	21	CO	SV	3	2	CAC	PA	21	1444	1412	+3	−2	56	59
1938	02	23	VE	CO	2	1	CAC	PA	29	1299	1415	+6	−3	74	59
1938	08	08	CO	PE	2	4	BG		-24	1391	1612	0	+3	60	39
1938	08	10	CO	EC	1	2	BG		-30	1361	1327	−3	+7	63	69
1938	08	13	CO	VE	2	0	BG		15	1376	1250	0	−1	63	84
1938	08	16	CO	BO	1	2	BG		-31	1345	1304	−3	+6	66	75
1945	01	21	BR	CO	3	0	SA	CL	3	1913	1342	0	−2	8	74
1945	01	28	UY	CO	7	0	SA	CL	3	1948	1339	0	−1	5	75
1945	01	31	CL	CO	2	0	SA		8	1616	1331	0	0	42	75
1945	02	07	AR	CO	9	1	SA	CL	1	2091	1330	0	0	1	75
1945	02	18	CO	EC	3	1	SA	CL	28	1358	1212	+7	−2	68	92
1945	02	21	BO	CO	3	3	SA	CL	4	1309	1354	+1	−2	78	70
1946	12	09	CO	CW	4	2	CAC		39	1393	1524	+4	−4	66	50
1946	12	12	CO	VE	2	0	CAC		14	1407	1274	+2	−2	64	86
1946	12	15	CO	GT	4	2	CAC		29	1436	1468	+2	−2	62	57
1946	12	17	CO	PR	4	1	CAC		2	1438	884	0	0	62	100
1946	12	18	CO	CR	4	1	CAC		49	1487	1633	+7	−13	55	37
1946	12	20	CO	PA	2	1	CAC		8	1495	1336	0	−2	55	74
1947	12	02	UY	CO	2	0	SA	EC	10	1831	1485	0	0	14	54
1947	12	04	EC	CO	0	0	SA		12	1220	1473	+1	−4	93	58
1947	12	13	BO	CO	0	0	SA	EC	12	1296	1461	+3	0	85	59
1947	12	18	AR	CO	6	0	SA	EC	3	2082	1458	0	0	1	59
1947	12	20	PY	CO	2	0	SA	EC	9	1819	1449	0	−2	15	61
1947	12	23	PE	CO	5	1	SA	EC	25	1651	1424	+2	−3	33	64
1947	12	27	CL	CO	4	1	SA	EC	16	1699	1408	+2	−2	24	66
1949	04	06	PY	CO	3	0	SA	BR	7	1848	1401	0	0	11	69
1949	04	10	PE	CO	4	0	SA	BR	18	1664	1383	+4	−4	29	73
1949	04	17	BR	CO	5	0	SA		2	1959	1381	0	−1	5	74
1949	04	20	CL	CO	1	1	SA	BR	-16	1640	1397	−2	+5	33	69
1949	04	25	CO	UY	2	2	SA	BR	22	1419	1828	+3	−2	66	12
1949	05	03	EC	CO	4	1	SA	BR	70	1253	1349	+5	−11	95	78
1949	05	06	BO	CO	4	0	SA	BR	44	1412	1305	+7	−7	68	85
1957	03	13	AR	CO	8	2	SA	PE	1	2097	1304	0	0	2	102
1957	03	17	CO	UY	1	0	SA	PE	49	1353	1887	+7	−2	95	7
1957	03	21	CL	CO	3	2	SA	PE	5	1746	1348	0	−1	19	96
1957	03	24	BR	CO	9	0	SA	PE	2	2042	1346	0	−1	3	97
1957	03	27	PE	CO	4	1	SA		5	1721	1341	+1	0	20	97
1957	04	01	CO	EC	4	1	SA	PE	35	1376	1239	+5	−7	92	119
1957	06	16	CO	UY	1	1	WQ		18	1394	1948	+4	0	88	5
1957	06	20	CO	PY	2	3	WQ		-9	1385	1714	−3	+1	91	23
1957	06	23	CO	PY	1	2	F		-4	1381	1718	−1	+2	92	21
1957	06	30	UY	CO	1	0	WQ		1	1949	1380	0	0	5	92
1957	07	07	PY	CO	3	0	WQ		5	1723	1375	+2	−1	20	92
1961	02	05	CO	US	2	0	F		14	1389	1432	+5	−2	97	80
1961	04	30	CO	PE	1	0	WQ		33	1422	1713	+12	−2	85	25
1961	05	07	PE	CO	1	1	WQ		-16	1697	1438	−5	+5	30	80
1962	04	01	CO	MX	0	1	F		-4	1434	1808	−1	0	83	15
1962	04	04	CO	MX	2	2	F		7	1441	1801	+1	0	82	15
1962	04	25	MX	CO	1	0	F		1	1802	1440	0	0	16	82
1962	05	30	UY	CO	2	1	WC	CL	4	1910	1436	0	−1	9	83
1962	06	03	CO	SU	4	4	WC	CL	28	1464	2042	+4	0	79	2
1962	06	07	YU	CO	5	0	WC	CL	6	1991	1458	+1	0	4	79
1963	03	10	AR	CO	4	2	SA	BO	4	1965	1454	0	0	5	79
1963	03	14	BR	CO	5	1	SA	BO	1	2190	1453	0	0	1	79
1963	03	17	BO	CO	2	1	SA		13	1549	1440	+1	−5	59	84
1963	03	20	PY	CO	3	2	SA	BO	7	1749	1433	+1	0	22	84
1963	03	24	CO	PE	1	1	SA	BO	16	1449	1682	+2	−2	82	30
1963	03	31	EC	CO	4	3	SA	BO	32	1379	1417	+3	−5	100	87
1963	09	01	CO	CR	4	5	F		-3	1414	1791	−1	0	88	20
1963	09	04	CO	CR	1	0	F		17	1431	1774	+3	−1	85	21
1965	07	20	CO	EC	0	1	WQ		-28	1403	1407	−8	+8	92	89
1965	07	25	EC	CO	2	0	WQ		21	1428	1382	+5	−4	84	96
1965	08	01	CL	CO	7	2	WQ		3	1828	1379	+1	−1	14	97
1965	08	07	CO	CL	2	0	WQ		53	1432	1775	+15	−6	82	20
1966	11	30	CL	CO	5	2	SAQ		7	1732	1425	0	−3	28	92
1966	12	11	CO	CL	0	0	SAQ		11	1436	1721	+2	0	90	28
1968	10	16	CO	MX	0	1	F		-3	1433	1862	0	+1	84	12
1969	02	04	MX	CO	1	0	F		1	1872	1432	0	0	12	85
1969	02	20	CO	SU	1	3	F		-3	1429	1949	0	0	85	6
1969	05	08	CO	PE	1	3	F		-12	1417	1613	−3	+1	88	46
1969	06	15	CO	CL	3	3	F		7	1424	1791	+1	0	87	18
1969	06	18	PE	CO	1	1	F		-7	1637	1431	−1	+2	43	85
1969	06	22	EC	CO	4	1	F		12	1449	1419	+2	−2	82	87
1969	07	02	CO	UY	0	1	F		-3	1416	1833	−1	0	88	12
1969	07	27	CO	VE	3	0	WQ		24	1440	1378	+6	−5	83	100
1969	08	02	VE	CO	1	1	WQ		-2	1376	1442	0	+2	100	81
1969	08	06	CO	BR	0	2	WQ		-4	1438	2011	−2	+1	84	2
1969	08	10	CO	PY	0	1	WQ		-10	1428	1749	−1	+1	85	24
1969	08	21	BR	CO	6	2	WQ		1	2035	1427	0	0	2	85
1969	08	24	PY	CO	2	1	WQ		4	1736	1423	0	−2	25	87
1970	05	20	CO	EN	0	4	F		-2	1421	2073	0	0	89	1
1971	06	16	HT	CO	2	1	F		4	1542	1417	+1	−2	62	90
1971	06	18	HT	CO	3	1	F		6	1548	1411	+1	0	61	90
1972	03	29	CO	PE	1	1	F		6	1417	1728	+1	−1	88	30
1972	06	03	VE	CO	2	1	F		9	1375	1408	+3	−1	98	87
1972	06	06	PE	CO	0	0	F		-8	1697	1416	−1	+1	34	86
