1938	08	08	BO	EC	1	1	BG	CO	3	1247	1297	0	−	84	76
1938	08	10	CO	EC	1	2	BG		-30	1361	1327	−3	+7	63	69
1938	08	11	PE	EC	9	1	BG	CO	15	1627	1312	+4	−3	35	72
1938	08	19	EC	VE	5	2	BG	CO	28	1340	1218	+3	−3	69	87
1938	08	22	BO	EC	2	1	BG	CO	22	1326	1318	+6	−2	69	71
1939	01	15	PE	EC	5	2	SA		7	1646	1311	+3	−1	31	74
1939	01	22	UY	EC	6	0	SA	PE	5	1846	1306	0	0	11	74
1939	02	05	CL	EC	4	1	SA	PE	16	1588	1290	+2	−2	41	76
1939	02	12	PY	EC	3	1	SA	PE	6	1708	1284	0	−2	20	78
1941	02	02	CL	EC	5	0	SA		9	1600	1275	+1	−2	42	81
1941	02	09	UY	EC	6	0	SA	CL	3	1904	1272	0	−1	8	82
1941	02	16	AR	EC	6	1	SA	CL	1	2088	1271	0	0	1	82
1941	02	23	PE	EC	4	0	SA	CL	7	1721	1264	0	−1	17	83
1942	01	18	UY	EC	7	0	SA		1	1938	1263	0	0	6	85
1942	01	22	AR	EC	12	0	SA	UY	1	2123	1262	0	0	1	85
1942	01	25	PY	EC	3	1	SA	UY	5	1720	1257	+1	−2	17	87
1942	01	28	PE	EC	2	1	SA	UY	4	1686	1253	+1	0	25	87
1942	01	31	BR	EC	5	1	SA	UY	2	1884	1251	0	0	8	87
1942	02	05	CL	EC	2	1	SA	UY	7	1584	1244	0	0	44	87
1945	01	14	CL	EC	6	3	SA		6	1597	1238	0	0	43	90
1945	01	24	UY	EC	5	1	SA	CL	2	1945	1236	+1	0	5	90
1945	01	31	AR	EC	4	2	SA	CL	1	2090	1235	0	0	1	90
1945	02	11	BO	EC	0	0	SA	CL	-5	1307	1240	0	0	78	90
1945	02	18	CO	EC	3	1	SA	CL	28	1358	1212	+7	−2	68	92
1945	02	21	BR	EC	9	2	SA	CL	2	1939	1210	0	0	6	92
1947	11	30	EC	BO	2	2	SA		-2	1208	1288	0	+1	94	86
1947	12	04	EC	CO	0	0	SA		12	1220	1473	+1	−4	93	58
1947	12	11	EC	CL	0	3	SA		-10	1210	1679	−1	+2	95	28
1947	12	16	EC	UY	1	6	SA		-5	1205	1820	0	0	95	14
1947	12	20	EC	PE	0	0	SA		19	1224	1626	+2	−1	93	35
1947	12	25	EC	AR	0	2	SA		-1	1223	2083	0	0	93	1
1947	12	30	EC	PY	0	4	SA		-5	1218	1841	−1	+1	94	12
1949	04	03	BR	EC	9	1	SA		1	1950	1217	0	0	5	97
1949	04	10	PY	EC	1	0	SA	BR	1	1849	1216	0	0	11	97
1949	04	13	UY	EC	3	2	SA	BR	1	1870	1215	0	0	9	97
1949	04	17	CL	EC	1	0	SA	BR	4	1656	1211	+1	0	31	97
1949	04	20	PE	EC	4	0	SA	BR	7	1652	1204	+1	−1	32	98
1949	04	25	BO	EC	2	0	SA	BR	21	1392	1183	+4	−2	71	100
1949	05	03	EC	CO	4	1	SA	BR	70	1253	1349	+5	−11	95	78
1953	02	28	PE	EC	1	0	SA		2	1718	1251	0	0	19	104
1953	03	04	EC	PY	0	0	SA	PE	24	1275	1857	+5	−2	99	11
1953	03	08	BO	EC	1	1	SA	PE	-12	1446	1287	−4	+2	69	97
1953	03	12	BR	EC	2	0	SA	PE	1	2062	1286	0	−1	3	98
1953	03	19	CL	EC	3	0	SA	PE	6	1760	1280	+1	−1	16	99
1953	03	23	UY	EC	6	0	SA	PE	5	1825	1275	0	0	13	99
1955	02	27	CL	EC	7	1	SA		6	1656	1269	+1	0	30	111
1955	03	09	AR	EC	4	0	SA	CL	1	2091	1268	0	0	2	111
1955	03	13	PE	EC	4	2	SA	CL	6	1713	1262	0	−1	20	112
1955	03	16	PY	EC	2	0	SA	CL	2	1874	1260	0	0	9	112
1955	03	23	UY	EC	5	1	SA	CL	2	1964	1258	0	0	6	112
1957	03	07	UY	EC	5	2	SA	PE	2	1936	1256	0	−1	5	117
1957	03	10	PE	EC	2	1	SA		2	1732	1254	0	0	19	117
1957	03	17	AR	EC	3	0	SA	PE	1	2098	1253	0	0	2	117
