1920	08	28	IT	EG	2	1	OG	BE	36	1662	1664	0	−	18	17
1920	09	03	EG	YU	4	2	F	BE	11	1675	1565	+1	0	16	25
1924	05	27	EG	LT	10	0	F	FR	2	1677	1082	0	0	24	54
1924	05	29	EG	HU	3	0	OG	FR	84	1761	1834	+8	−7	17	11
1924	06	01	SE	EG	5	0	OG	FR	56	1843	1705	+4	−3	9	20
1924	06	22	AT	EG	3	1	F		6	1841	1699	+1	−3	9	23
1924	06	29	SE	EG	5	0	F		7	1864	1692	0	0	7	23
1928	05	28	EG	TR	7	1	OG	NL	26	1718	1433	+2	−1	20	47
1928	06	04	EG	PT	2	1	OG	NL	33	1751	1716	+3	−3	17	20
1928	06	06	AR	EG	6	0	OG	NL	21	2057	1730	0	−1	2	19
1928	06	09	IT	EG	11	3	OG	NL	39	1938	1691	+3	−1	4	20
1928	06	14	NL	EG	1	2	F		-14	1728	1705	−1	0	18	20
1928	06	28	LU	EG	1	1	F		7	1286	1698	+1	0	57	20
1932	02	19	EG	HU	0	0	F		1	1699	1848	0	0	19	10
1934	03	16	EG	PS	7	1	WQ		5	1704	1295	0	−	20	66
1934	04	06	PS	EG	1	4	WQ		-10	1285	1714	−2	+1	68	19
1934	04	07	PS	EG	2	2	F		7	1292	1707	+2	−1	66	20
1934	05	27	HU	EG	4	2	WC	IT	30	1859	1677	+1	−1	10	21
1936	06	19	EG	GR	3	1	F		2	1679	1274	0	0	22	73
1936	06	21	EG	GR	2	5	F		-33	1646	1307	−6	+7	28	66
1948	07	31	DK	EG	3	1	OG	EN	36	1756	1610	+5	−4	16	37
1948	12	24	EG	NO	1	1	F		-3	1607	1607	0	+1	36	36
1949	05	12	TR	EG	3	2	MFT	GR	28	1481	1579	+2	−4	60	40
1949	05	18	GR	EG	1	3	MFT		-16	1292	1595	−6	+2	88	38
1950	02	17	EG	GR	2	0	EMC		7	1602	1322	+1	−1	37	84
1950	02	19	EG	GR	0	1	F		-18	1584	1340	−3	+2	40	82
1951	10	16	EG	SY	8	0	MDG		11	1595	1313	0	0	42	87
1951	10	18	EG	GR	0	2	MDG		-52	1543	1432	−9	+12	51	68
1951	10	21	EG	GR	3	0	F		8	1551	1424	+2	−1	49	69
1951	11	25	GR	EG	1	0	EMC		22	1446	1529	+2	−3	67	53
1951	11	28	GR	EG	2	2	F		0	1446	1529	0	0	67	53
1952	08	10	NL	EG	1	1	F		-5	1599	1534	0	+2	38	49
1952	11	02	YU	EG	5	0	F		2	1929	1532	0	0	6	50
1953	01	16	EG	YU	1	3	F		-5	1527	1926	−1	+1	52	6
1953	01	18	EG	YU	3	3	F		7	1534	1919	+1	−1	51	7
1953	08	01	EG	PS	8	1	PAR		9	1543	1252	0	−2	52	105
1953	08	06	EG	LY	10	2	PAR		31	1574	1483	+8	−6	44	62
1953	08	10	EG	SY	4	0	PAR		9	1583	1320	+2	−3	42	89
1953	11	13	EG	IT	1	2	WQ		-11	1572	1853	−1	0	45	12
1954	01	24	IT	EG	5	1	WQ		7	1878	1565	0	−1	11	49
1954	02	12	EG	HU	0	3	F		-2	1563	2129	0	0	49	1
1954	02	21	EG	HU	0	3	F		-2	1561	2131	0	0	49	1
1954	11	07	GR	EG	1	1	MDC		-2	1493	1563	−1	+1	64	51
1954	11	09	GR	EG	1	2	F		-11	1482	1574	−6	+3	70	48
1955	01	07	EG	BG	1	0	F		5	1579	1490	+1	0	46	63
1955	01	21	EG	GR	1	1	MDC		-10	1569	1492	−3	+7	49	63
1955	01	23	EG	GR	1	3	F		-22	1547	1514	−6	+3	55	60
1955	05	22	BG	EG	2	1	F		9	1506	1538	0	−1	64	55
1955	07	25	EG	SY	3	0	MDG	ES	16	1554	1304	+3	−4	53	99
1955	12	23	EG	PT	0	4	F		-19	1535	1663	−6	+7	58	28
1956	01	29	ET	EG	1	4	OQ		-42	1466	1577	−5	+14	71	44
1956	04	27	EG	ET	5	2	OQ		16	1593	1450	+2	−5	44	75
1957	02	10	SD	EG	1	2	AR		-38	1652	1631	−9	+7	35	40
1957	02	15	EG	ET	4	0	AR	SD	26	1657	1434	+5	−6	35	80
1957	02	17	SD	EG	3	4	F		-13	1639	1670	−4	+4	40	31
1957	04	05	EG	TR	0	4	MDC		-48	1622	1714	−11	+10	41	22
1957	12	13	EG	CS	1	2	F		-6	1616	1885	−1	0	43	10
1958	12	28	RR	WG	2	1	F		14	1630	1870	+1	−1	40	11
1959	05	22	RR	ET	4	0	AR		14	1644	1420	0	−3	40	85
1959	05	29	RR	SD	2	1	AR		17	1661	1606	+4	−2	36	43
1959	11	13	RR	GH	2	1	OQ		18	1679	1704	+1	−5	36	32
1959	12	06	GH	RR	2	0	OQ		18	1743	1661	+2	0	25	37
1959	12	13	NG	RR	2	6	OQ		-53	1666	1714	−8	+6	38	31
1960	01	01	RR	NG	3	0	OQ		21	1735	1645	+5	−1	26	38
1960	01	08	RR	YU	0	1	F		-8	1727	1922	−1	+1	27	7
1960	01	10	RR	YU	0	0	F		3	1730	1919	0	−1	27	8
1960	02	19	RR	TN	3	1	OQ		9	1739	1530	+1	−2	26	58
1960	02	26	SD	RR	0	1	OQ		-20	1626	1759	−4	+4	42	21
1960	04	03	TN	RR	0	0	OQ		7	1537	1752	+2	−1	56	23
1960	04	22	RR	SD	3	0	OQ		13	1765	1584	+2	−2	21	46
1960	04	29	RR	BR	0	5	F		-12	1753	2024	−2	+1	22	1
1960	05	01	RR	BR	1	3	F		-8	1745	2032	−2	0	24	1
